Time,Open,High,Low,Close
2024-01-01 00:00:00,2050.00,2050.59,2049.72,2050.03
2024-01-01 00:30:00,2050.03,2051.36,2045.95,2047.34
2024-01-01 01:00:00,2047.34,2051.92,2046.61,2049.85
2024-01-01 01:30:00,2049.85,2050.65,2049.52,2049.59
2024-01-01 02:00:00,2049.59,2052.68,2048.90,2051.49
2024-01-01 02:30:00,2051.49,2055.59,2050.48,2054.35
2024-01-01 03:00:00,2054.35,2054.97,2053.09,2054.88
2024-01-01 03:30:00,2054.88,2057.14,2054.48,2056.81
2024-01-01 04:00:00,2056.81,2057.36,2055.31,2056.93
2024-01-01 04:30:00,2056.93,2058.50,2053.97,2055.16
2024-01-01 05:00:00,2055.16,2058.09,2053.78,2057.35
2024-01-01 05:30:00,2057.35,2059.43,2056.45,2058.43
2024-01-01 06:00:00,2058.43,2060.17,2058.42,2059.36
2024-01-01 06:30:00,2059.36,2064.65,2058.56,2064.46
2024-01-01 07:00:00,2064.46,2065.12,2061.09,2061.23
2024-01-01 07:30:00,2061.23,2061.88,2058.38,2059.18
2024-01-01 08:00:00,2059.18,2060.99,2058.50,2060.79
2024-01-01 08:30:00,2060.79,2060.97,2057.24,2057.96
2024-01-01 09:00:00,2057.96,2061.28,2057.42,2060.17
2024-01-01 09:30:00,2060.17,2061.74,2057.42,2059.14
2024-01-01 10:00:00,2059.14,2061.65,2058.32,2059.65
2024-01-01 10:30:00,2059.65,2061.54,2058.77,2059.56
2024-01-01 11:00:00,2059.56,2060.54,2056.61,2056.90
2024-01-01 11:30:00,2056.90,2060.22,2055.60,2058.61
2024-01-01 12:00:00,2058.61,2059.48,2058.06,2059.37
2024-01-01 12:30:00,2059.37,2062.45,2058.36,2061.82
2024-01-01 13:00:00,2061.82,2063.41,2059.91,2059.94
2024-01-01 13:30:00,2059.94,2063.47,2059.83,2062.18
2024-01-01 14:00:00,2062.18,2062.37,2059.52,2060.41
2024-01-01 14:30:00,2060.41,2062.56,2059.29,2060.34
2024-01-01 15:00:00,2060.34,2061.73,2059.27,2061.08
2024-01-01 15:30:00,2061.08,2065.33,2059.95,2063.61
2024-01-01 16:00:00,2063.61,2066.59,2062.06,2064.82
2024-01-01 16:30:00,2064.82,2066.53,2063.89,2066.02
2024-01-01 17:00:00,2066.02,2066.61,2062.69,2063.67
2024-01-01 17:30:00,2063.67,2064.21,2061.90,2062.05
2024-01-01 18:00:00,2062.05,2062.60,2057.60,2058.60
2024-01-01 18:30:00,2058.60,2059.47,2054.88,2055.08
2024-01-01 19:00:00,2055.08,2055.60,2052.36,2053.20
2024-01-01 19:30:00,2053.20,2056.16,2053.19,2054.57
2024-01-01 20:00:00,2054.57,2054.72,2049.82,2050.56
2024-01-01 20:30:00,2050.56,2052.07,2048.52,2051.31
2024-01-01 21:00:00,2051.31,2052.11,2045.50,2047.63
2024-01-01 21:30:00,2047.63,2048.12,2046.02,2046.06
2024-01-01 22:00:00,2046.06,2047.54,2042.31,2042.65
2024-01-01 22:30:00,2042.65,2044.24,2042.19,2044.22
2024-01-01 23:00:00,2044.22,2044.24,2040.52,2041.92
2024-01-01 23:30:00,2041.92,2042.73,2038.81,2039.37
2024-01-02 00:00:00,2039.37,2040.21,2038.31,2038.61
2024-01-02 00:30:00,2038.61,2040.67,2037.51,2039.16
2024-01-02 01:00:00,2039.16,2039.90,2038.04,2039.79
2024-01-02 01:30:00,2039.79,2040.89,2038.45,2039.33
2024-01-02 02:00:00,2039.33,2039.80,2032.51,2033.68
2024-01-02 02:30:00,2033.68,2034.20,2032.54,2032.96
2024-01-02 03:00:00,2032.96,2038.16,2032.34,2036.61
2024-01-02 03:30:00,2036.61,2037.16,2035.09,2036.91
2024-01-02 04:00:00,2036.91,2039.97,2035.70,2039.91
2024-01-02 04:30:00,2039.91,2040.04,2036.77,2038.93
2024-01-02 05:00:00,2038.93,2040.27,2038.47,2040.17
2024-01-02 05:30:00,2040.17,2043.38,2039.45,2042.57
2024-01-02 06:00:00,2042.57,2042.93,2037.82,2038.92
2024-01-02 06:30:00,2038.92,2040.81,2036.14,2036.41
2024-01-02 07:00:00,2036.41,2041.60,2036.40,2039.02
2024-01-02 07:30:00,2039.02,2039.04,2038.14,2038.90
2024-01-02 08:00:00,2038.90,2040.87,2037.92,2040.37
2024-01-02 08:30:00,2040.37,2042.79,2039.38,2042.21
2024-01-02 09:00:00,2042.21,2042.98,2041.80,2041.96
2024-01-02 09:30:00,2041.96,2045.89,2039.78,2044.05
2024-01-02 10:00:00,2044.05,2044.56,2039.15,2039.28
2024-01-02 10:30:00,2039.28,2039.94,2035.96,2036.40
2024-01-02 11:00:00,2036.40,2039.29,2035.27,2038.44
2024-01-02 11:30:00,2038.44,2040.58,2038.20,2040.22
2024-01-02 12:00:00,2040.22,2040.69,2036.83,2038.53
2024-01-02 12:30:00,2038.53,2039.78,2034.94,2035.06
2024-01-02 13:00:00,2035.06,2037.44,2031.68,2032.56
2024-01-02 13:30:00,2032.56,2035.56,2030.69,2034.79
2024-01-02 14:00:00,2034.79,2037.60,2032.71,2036.57
2024-01-02 14:30:00,2036.57,2037.34,2035.67,2037.13
2024-01-02 15:00:00,2037.13,2037.22,2031.15,2032.69
2024-01-02 15:30:00,2032.69,2035.51,2031.55,2035.42
2024-01-02 16:00:00,2035.42,2037.86,2034.25,2036.55
2024-01-02 16:30:00,2036.55,2039.06,2036.29,2037.18
2024-01-02 17:00:00,2037.18,2038.62,2034.75,2036.58
2024-01-02 17:30:00,2036.58,2038.27,2034.89,2036.96
2024-01-02 18:00:00,2036.96,2039.43,2036.72,2038.49
2024-01-02 18:30:00,2038.49,2040.54,2035.43,2036.19
2024-01-02 19:00:00,2036.19,2038.79,2033.99,2035.02
2024-01-02 19:30:00,2035.02,2036.04,2034.01,2034.92
2024-01-02 20:00:00,2034.92,2035.68,2032.51,2033.04
2024-01-02 20:30:00,2033.04,2034.61,2032.10,2034.19
2024-01-02 21:00:00,2034.19,2037.34,2033.44,2036.41
2024-01-02 21:30:00,2036.41,2037.59,2034.46,2034.57
2024-01-02 22:00:00,2034.57,2035.70,2033.00,2033.62
2024-01-02 22:30:00,2033.62,2036.49,2033.05,2035.73
2024-01-02 23:00:00,2035.73,2040.67,2035.19,2039.77
2024-01-02 23:30:00,2039.77,2041.73,2039.25,2041.13
2024-01-03 00:00:00,2041.13,2043.89,2040.92,2042.59
2024-01-03 00:30:00,2042.59,2043.73,2039.72,2040.56
2024-01-03 01:00:00,2040.56,2040.83,2039.85,2040.00
2024-01-03 01:30:00,2040.00,2040.42,2034.84,2035.67
2024-01-03 02:00:00,2035.67,2036.11,2034.92,2035.91
2024-01-03 02:30:00,2035.91,2038.26,2035.39,2038.19
2024-01-03 03:00:00,2038.19,2038.94,2035.62,2036.22
2024-01-03 03:30:00,2036.22,2036.58,2032.99,2034.36
2024-01-03 04:00:00,2034.36,2035.28,2031.58,2032.91
2024-01-03 04:30:00,2032.91,2034.75,2032.45,2033.17
2024-01-03 05:00:00,2033.17,2035.37,2032.66,2034.81
2024-01-03 05:30:00,2034.81,2035.19,2032.57,2034.18
2024-01-03 06:00:00,2034.18,2035.66,2031.80,2033.36
2024-01-03 06:30:00,2033.36,2034.70,2030.04,2031.82
2024-01-03 07:00:00,2031.82,2034.35,2030.62,2032.63
2024-01-03 07:30:00,2032.63,2036.90,2032.52,2035.70
2024-01-03 08:00:00,2035.70,2036.57,2032.22,2033.94
